,Entity,Iteration,Probability,Relation,Value
0,concept:company:limited_brands,1115,0.9375,concept:companyceo,concept:ceo:leslie_wexner
1,concept:biotechcompany:intuit,1115,1.0,concept:companyceo,concept:ceo:stephen_bennett
2,concept:biotechcompany:lightbridge_inc_,1107,0.9375,concept:companyalsoknownas,concept:company:lightbridge
3,concept:company:american_family_insurance,1114,0.96875,concept:companyeconomicsector,concept:economicsector:insurance
4,concept:biotechcompany:mastercard_international,1114,0.9375,concept:companyalsoknownas,concept:bank:mastercard
5,concept:retailstore:costco_wholesale_corp,1115,1.0,concept:companyalsoknownas,concept:company:cost
6,concept:retailstore:fedex_corp,1114,1.0,concept:companyalsoknownas,concept:company:fdx
7,concept:biotechcompany:altria_group,1115,0.9375,concept:companyceo,concept:ceo:michael_e__szymanczyk
8,concept:company:clorox_co,1115,0.9375,concept:companyeconomicsector,concept:economicsector:consumer_products
9,concept:biotechcompany:nec_corp,1114,0.9375,concept:companyalsoknownas,concept:company:fujitsu
10,concept:biotechcompany:nec_corp,1114,0.9375,concept:companyalsoknownas,concept:company:samsung
11,concept:biotechcompany:nec_corp,1115,0.9375,concept:companyalsoknownas,concept:company:lg_electronics_inc
12,concept:biotechcompany:nec_corp,1114,0.9921875,concept:companyeconomicsector,concept:economicsector:electronics
13,concept:biotechcompany:sharp_corporation,1115,0.99609375,concept:companyalsoknownas,concept:biotechcompany:sony_corp
14,concept:biotechcompany:sharp_corporation,1114,0.9375,concept:companyalsoknownas,concept:company:samsung
15,concept:biotechcompany:sharp_corporation,1115,0.9375,concept:companyalsoknownas,concept:company:lg_electronics_inc
16,concept:biotechcompany:sharp_corporation,1114,0.9913765314072722,concept:companyeconomicsector,concept:economicsector:electronics
17,concept:company:sap_ag,1102,0.9375,concept:companyalsoknownas,concept:company:sap_r_3
18,concept:company:sap_ag,1115,0.9375,concept:companyalsoknownas,concept:company:hp
19,concept:company:sap_ag,1115,0.984375,concept:companyceo,concept:ceo:hasso_plattner
20,concept:company:mci,1114,1.0,concept:companyeconomicsector,concept:economicsector:telecommunications
21,concept:biotechcompany:bupa,1109,0.9375,concept:companyeconomicsector,concept:economicsector:health_insurance
22,concept:biotechcompany:bupa,1109,0.9375,concept:companyeconomicsector,concept:academicfield:health
23,concept:hotel:hilton_hotels,1115,1.0,concept:companyceo,concept:ceo:stephen_bollenbach
24,concept:retailstore:adidas,1114,0.96875,concept:companyeconomicsector,concept:economicsector:apparel
25,concept:retailstore:adidas,1114,0.9375,concept:companyeconomicsector,concept:economicsector:sports
26,concept:company:hcl_technologies,1115,0.984375,concept:companyceo,concept:ceo:vineet_nayar
27,concept:company:analog_devices,1114,0.9375,concept:companyalsoknownas,concept:recordlabel:pulsar
28,concept:company:dominion_resources,1115,1.0,concept:companyceo,concept:ceo:thomas_f__farrell_ii
29,concept:company:goodyear,1114,1.0,concept:companyalsoknownas,concept:automobilemaker:gt
30,concept:company:wmt,1115,1.0,concept:companyalsoknownas,concept:retailstore:wal_mart_stores
31,concept:company:blue_cross_blue_shield,1114,0.984375,concept:companyeconomicsector,concept:economicsector:health_insurance
32,concept:company:blue_cross_blue_shield,1114,0.96875,concept:companyeconomicsector,concept:academicfield:health
33,concept:company:blue_cross_blue_shield,1114,1.0,concept:companyeconomicsector,concept:economicsector:insurance
34,concept:biotechcompany:general_electric,1114,1.0,concept:companyalsoknownas,concept:company:ge
35,concept:biotechcompany:general_electric,1115,1.0,concept:companyceo,concept:ceo:jeffrey_immelt
36,concept:biotechcompany:cigna,1114,1.0,concept:companyalsoknownas,concept:bank:ci
37,concept:biotechcompany:research_in_motion_ltd,1109,1.0,concept:companyalsoknownas,concept:company:rimm
38,concept:biotechcompany:vul,1096,0.9375,concept:companyeconomicsector,concept:economicsector:insurance
39,concept:biotechcompany:interdigital,1111,0.9375,concept:companyalsoknownas,concept:company:interdigital_communications_corporation
40,concept:biotechcompany:garmin_ltd,1115,0.9375,concept:companyalsoknownas,concept:company:garmin_corporation
41,concept:company:netflix,1115,0.9999847412109375,concept:companyceo,concept:ceo:reed_hastings
42,concept:company:general_mills001,1110,0.9375,concept:companyalsoknownas,concept:magazine:betty_crocker
43,concept:company:general_mills001,1115,0.96875,concept:companyceo,concept:ceo:ken_powell
44,concept:biotechcompany:simon_property,1115,0.9375,concept:companyceo,concept:ceo:david_simon
45,concept:biotechcompany:eisai_co_,1102,0.9375,concept:companyalsoknownas,concept:biotechcompany:aricept
46,concept:company:chrome,1103,0.99951171875,concept:companyeconomicsector,concept:economicsector:internet
47,concept:company:novell,1115,0.9986833630808907,concept:companyceo,concept:ceo:jack_messman
48,concept:company:computer_associates_international,1115,0.9375,concept:companyceo,concept:ceo:charles_wang
49,concept:website:amazon_com,1114,0.9375,concept:companyalsoknownas,concept:company:amazon_com_logo
50,concept:website:amazon_com,1115,0.984375,concept:companyalsoknownas,concept:biotechcompany:sony_corp
51,concept:website:amazon_com,1114,0.9375,concept:companyalsoknownas,concept:retailstore:target_corporation
52,concept:website:amazon_com,1115,1.0,concept:companyceo,concept:personus:jeff_bezos
53,concept:website:amazon_com,1114,0.9375,concept:companyeconomicsector,concept:economicsector:internet
54,concept:website:amazon_com,1114,0.96875,concept:companyeconomicsector,concept:economicsector:consumer
55,concept:website:amazon_com,1114,0.9921875,concept:companyeconomicsector,concept:economicsector:media
56,concept:website:amazon_com,1114,0.96875,concept:companyeconomicsector,concept:economicsector:sales
57,concept:company:cvs_caremark,1115,0.99609375,concept:companyceo,concept:ceo:thomas_m__ryan
58,concept:website:cbs_corporation,1115,0.9999907522141465,concept:companyceo,concept:ceo:leslie_moonves
59,concept:website:cbs_corporation,1114,0.9997895425435359,concept:companyeconomicsector,concept:economicsector:media
60,concept:website:cbs_corporation,1114,0.9996999614327973,concept:companyeconomicsector,concept:economicsector:news
61,concept:biotechcompany:nvidia,1114,0.9375,concept:companyalsoknownas,concept:biotechcompany:toshiba
62,concept:biotechcompany:hewlett_packard_co,1114,1.0,concept:companyalsoknownas,concept:company:hp
63,concept:biotechcompany:hewlett_packard_co,1115,1.0,concept:companyceo,concept:person:carly_fiorina
64,concept:company:biocon,1115,0.96875,concept:companyceo,concept:ceo:kiran_mazumdar_shaw
65,concept:biotechcompany:novartis,1115,0.99999237109375,concept:companyceo,concept:ceo:daniel_vasella
66,concept:biotechcompany:cisco,1110,1.0,concept:companyalsoknownas,concept:company:csco
67,concept:biotechcompany:cisco,1115,1.0,concept:companyceo,concept:ceo:john_t__chambers
68,concept:company:linksys,1114,0.9999999971104312,concept:companyeconomicsector,concept:economicsector:internet
69,concept:company:chartered_semiconductor,1115,0.9375,concept:companyeconomicsector,concept:economicsector:electronics
70,concept:company:general_electric_co_,1114,1.0,concept:companyalsoknownas,concept:company:ge
71,concept:company:napster,1115,0.9375,concept:companyalsoknownas,concept:biotechcompany:sony_corp
72,concept:company:napster,1115,0.96875,concept:companyceo,concept:ceo:shawn_fanning
73,concept:company:forrester,1115,0.9375,concept:companyalsoknownas,concept:organization:forrester_research
74,concept:biotechcompany:boeing_company,1094,0.96875,concept:companyeconomicsector,concept:economicsector:aerospace
75,concept:company:energysolutions,1103,1.0,concept:companyalsoknownas,concept:company:envirocare_of_utah
76,concept:company:earthlink,1115,0.9375,concept:companyceo,concept:ceo:sky_dayton
77,concept:company:reynolds_american,1115,0.96875,concept:companyceo,concept:ceo:susan_m__ivey
78,concept:biotechcompany:eastman_kodak_company,1115,1.0,concept:companyceo,concept:ceo:antonio_m__perez
79,concept:biotechcompany:harte_hanks,1114,0.9291060668570699,concept:companyeconomicsector,concept:academicfield:marketing
80,concept:biotechcompany:genentech,1114,1.0,concept:companyeconomicsector,concept:economicsector:biotechnology
81,concept:biotechcompany:salesforce__com,1115,1.0,concept:companyalsoknownas,concept:company:crm
82,concept:biotechcompany:salesforce__com,1115,0.9999923706054688,concept:companyceo,concept:ceo:marc_benioff
83,concept:retailstore:kohl_s_corp,1114,1.0,concept:companyalsoknownas,concept:biotechcompany:kss
84,concept:company:motorola,1114,0.984375,concept:companyalsoknownas,concept:biotechcompany:motorola_corporation
85,concept:company:motorola,1115,0.9999847412109375,concept:companyalsoknownas,concept:biotechcompany:sony_corp
86,concept:company:motorola,1114,0.9375,concept:companyalsoknownas,concept:company:samsung
87,concept:company:motorola,1114,1.0,concept:companyalsoknownas,concept:transportation:mot
88,concept:company:motorola,1115,1.0,concept:companyceo,concept:ceo:edward_j__zander
89,concept:company:motorola,1114,0.96875,concept:companyeconomicsector,concept:economicsector:electronics
90,concept:company:morgan_stanley,1115,1.0,concept:companyceo,concept:ceo:james_p__gorman
91,concept:company:morgan_stanley,1115,1.0,concept:companyeconomicsector,concept:economicsector:financial_services
92,concept:company:morgan_stanley,1115,0.9999999999674992,concept:companyeconomicsector,concept:economicsector:investment
93,concept:company:bechtel,1115,0.9706502632206354,concept:companyeconomicsector,concept:academicfield:construction
94,concept:biotechcompany:lanier_worldwide,1114,0.9375,concept:companyalsoknownas,concept:company:lanier
95,concept:biotechcompany:alcatel,1114,0.9157267004890209,concept:companyeconomicsector,concept:economicsector:telecommunications
96,concept:company:dhi,1115,1.0,concept:companyalsoknownas,concept:radiostation:d_t
97,concept:company:crm,1115,1.0,concept:companyalsoknownas,concept:biotechcompany:salesforce__com
98,concept:retailstore:target_corporation,1114,0.9375,concept:companyalsoknownas,concept:website:amazon_com
99,concept:retailstore:target_corporation,1115,0.9921875,concept:companyceo,concept:ceo:gregg_steinhafel
100,concept:biotechcompany:xerox,1115,0.9999972462132968,concept:companyceo,concept:ceo:ursula_burns
101,concept:company:ati,1115,0.9999999988664303,concept:companyeconomicsector,concept:economicsector:semiconductors
102,concept:company:cavium_networks,1115,1.0,concept:companyceo,concept:ceo:syed_b__ali
103,concept:company:apc,1114,1.0,concept:companyalsoknownas,concept:company:anadarko_petroleum
104,concept:company:chevron,1115,0.9375,concept:companyceo,concept:personafrica:john_watson
105,concept:company:sony_electronics,1115,0.9375,concept:companyalsoknownas,concept:biotechcompany:sony_corp
106,concept:company:thomson001,1115,1.0,concept:companyeconomicsector,concept:economicsector:travel
107,concept:company:thomson001,1115,0.9375,concept:companyeconomicsector,concept:economicsector:media
108,concept:company:japan001,1095,0.9375,concept:companyeconomicsector,concept:economicsector:electronics
109,concept:company:japan001,1096,0.9375,concept:companyeconomicsector,concept:economicsector:automobile
110,concept:company:japan001,1100,0.9375,concept:companyeconomicsector,concept:economicsector:auto
111,concept:biotechcompany:gieco,1109,0.9375,concept:companyeconomicsector,concept:economicsector:insurance
112,concept:company:safeco,1111,0.96875,concept:companyeconomicsector,concept:economicsector:insurance
113,concept:company:orange,1115,0.984375,concept:companyalsoknownas,concept:biotechcompany:sony_corp
114,concept:company:orange,1103,0.9375,concept:companyeconomicsector,concept:economicsector:telecommunications
115,concept:company:pentax_corporation,1115,0.984375,concept:companyalsoknownas,concept:company:pentax_brand
116,concept:company:aig_insurance,1115,0.9999763795645715,concept:companyeconomicsector,concept:economicsector:insurance
117,concept:biotechcompany:schlumberger_limited,1114,1.0,concept:companyalsoknownas,concept:company:slb
118,concept:biotechcompany:schlumberger_limited,1115,0.99609375,concept:companyceo,concept:ceo:andrew_gould
119,concept:biotechcompany:centex_corp,1114,1.0,concept:companyalsoknownas,concept:company:ctx
120,concept:biotechcompany:cypress_semiconductor,1115,0.96875,concept:companyceo,concept:ceo:tj_rodgers
121,concept:biotechcompany:nubus,1114,0.9375,concept:companyalsoknownas,concept:biotechcompany:texas_instruments
122,concept:biotechcompany:constellation_energy_group,1115,0.9375,concept:companyceo,concept:ceo:mayo_a__shattuck_iii
123,concept:biotechcompany:constellation_energy_group,1115,0.9375,concept:companyeconomicsector,concept:politicsissue:energy
124,concept:biotechcompany:ati_,1114,1.0,concept:companyeconomicsector,concept:economicsector:semiconductors
125,concept:biotechcompany:boeing_co_,1096,1.0,concept:companyeconomicsector,concept:economicsector:aerospace
126,concept:company:fluor,1114,0.9375,concept:companyeconomicsector,concept:academicfield:engineering
127,concept:biotechcompany:sprint,1115,0.9375,concept:companyalsoknownas,concept:company:samsung
128,concept:biotechcompany:sprint,1115,1.0,concept:companyceo,concept:ceo:gary_forsee
129,concept:website:purchase,1094,0.9999999999990905,concept:companyeconomicsector,concept:economicsector:insurance
130,concept:biotechcompany:bae_systems,1114,0.9320919051478029,concept:companyeconomicsector,concept:economicsector:aerospace
131,concept:company:autodesk_inc_,1115,0.999999568319179,concept:companyceo,concept:ceo:carol_a__bartz
132,concept:website:nature,1096,0.9375,concept:companyeconomicsector,concept:economicsector:media
133,concept:biotechcompany:radio_frequency_identification,1102,0.9375,concept:companyalsoknownas,concept:biotechcompany:rfid
134,concept:biotechcompany:microsoft,1115,1.0,concept:companyalsoknownas,concept:biotechcompany:msft
135,concept:biotechcompany:microsoft,1115,0.984375,concept:companyalsoknownas,concept:company:microsoft_dynamics
136,concept:biotechcompany:microsoft,1115,0.9375,concept:companyalsoknownas,concept:company:apple_computer_inc__windows
137,concept:biotechcompany:microsoft,1115,0.9999997615814209,concept:companyalsoknownas,concept:company:server
138,concept:biotechcompany:microsoft,1115,0.9375,concept:companyalsoknownas,concept:company:readers
139,concept:biotechcompany:microsoft,1115,0.9375,concept:companyalsoknownas,concept:company:call
140,concept:biotechcompany:microsoft,1115,0.9375,concept:companyalsoknownas,concept:website:bing_index
141,concept:biotechcompany:microsoft,1115,0.984375,concept:companyalsoknownas,concept:company:acrobat
142,concept:biotechcompany:microsoft,1115,0.9375,concept:companyalsoknownas,concept:company:pdf_format
143,concept:biotechcompany:microsoft,1115,0.99609375,concept:companyalsoknownas,concept:website:windows_live
144,concept:biotechcompany:microsoft,1115,0.984375,concept:companyceo,concept:ceo:william_gates_iii
145,concept:biotechcompany:microsoft,1115,0.9999961853027344,concept:companyeconomicsector,concept:economicsector:internet
146,concept:biotechcompany:bayer,1115,0.9375,concept:companyalsoknownas,concept:biotechcompany:bayer_corporation
147,concept:biotechcompany:bayer,1115,0.96875,concept:companyceo,concept:ceo:werner_wenning
148,concept:biotechcompany:valero_energy,1115,1.0,concept:companyceo,concept:ceo:william_r__klesse
149,concept:company:netsuite,1115,0.9375,concept:companyceo,concept:ceo:zach_nelson
150,concept:biotechcompany:cit_group,1114,1.0,concept:companyalsoknownas,concept:bank:cit
151,concept:biotechcompany:jnj,1102,1.0,concept:companyalsoknownas,concept:biotechcompany:johnson___johnson
152,concept:biotechcompany:helvetica,1114,0.9375,concept:companyalsoknownas,concept:organization:linotype_ag
153,concept:biotechcompany:ibm,1115,1.0,concept:companyalsoknownas,concept:biotechcompany:international_business_machines_corp
154,concept:biotechcompany:ibm,1115,0.9990234375,concept:companyalsoknownas,concept:biotechcompany:sony_corp
155,concept:biotechcompany:ibm,1115,1.0,concept:companyalsoknownas,concept:company:ford
156,concept:biotechcompany:ibm,1115,1.0,concept:companyceo,concept:ceo:samuel_j__palmisano
