ballack	germany
leandro_barbosa	phoenix_suns
kovalchuk	thrashers
jonathan_sanchez	chicago_blackhawks
williams	cavs
john_lackey	anaheim_angels
john_stockton	utah_jazz
jason_williams	miami_heat
craig_monroe	vancouver_canucks
james_hardy	buffalo_bills
shaquille_o__neal	phoenix_suns
tayshaun_prince	pistons
manny_malhotra	capitals
fernando_pisani	knicks
donnie_avery	rams
rashard_lewis	magic
chris_paul	new_orleans_hornets
jamal_crawford	knicks
mike_green	capitals
michael_finley	spurs
rodney_stuckey	pistons
zach_duke	sun_devils
mike_smith	tampa
ronnie_brewer	tampa_bay_devil_rays
casey_blake	rangers
lamarcus_aldridge	trail_blazers
rafer_alston	houston_rockets
tyson_chandler	alabama_st_hornets
michael_beasley	miami_heat
nick_young	clippers
andrei_markov	utah_jazz
chien_ming_wang	yankees
luol_deng	bulls
carlos_gomez	bulls
roberto_alomar	new_york_mets
bobby_abreu	celtics
mickael_pietrus	magic
jordan_staal	penguins
elton_brand	clippers
steve_yzerman	red_wings
marquis_daniels	indiana_pacers
rick_nash	colts
mike_hampton	houston_astros
kenny_lofton	washington_wizards
mike_lowell	red_sox
jason_campbell	washington_redskins
bronson_arroyo	reds
aaron_rowand	green_bay_packers
chad_hutchinson	carolina_hurricanes
manu_ginobili	spurs
rich_harden	cubs
garrett_atkins	rockies
andrea_bargnani	toronto_raptors
derek_lowe	atlanta_braves
jeff_bagwell	houston_astros
andy_johnson	yankees
al_thornton	nets
michael_leighton	carolina
andrew_johnson	houston_astros
mike_aviles	manchester_city
josh_beckett	red_sox
matt_treanor	marlins
sergio_rodriguez	trail_blazers
scott_niedermayer	anaheim_ducks
charlie_villanueva	dodgers
jake_peavy	padres
dwight_evans	red_sox
matt_stairs	blue_jays
claude_giroux	philadelphia_flyers
darryl_strawberry	new_york_mets
dominic_rhodes	tennessee_titans
alexei_ramirez	red_sox
darrell_rasner	yankees
lubomir_visnovsky	oilers
yogi_berra	yankees
jhonny_peralta	indians
